Seq,SOURCEID,ObsID,RAdeg,DEdeg,e_Pos,DistNN,ExtFlag,InXMM,InChandra,FSoft,e_FSoft,CtSoft,SoftDetml,FHard,e_FHard,CtHard,HardDetml,FFull,e_FFull,CtFull,FullDetml,logLSoft,logLHard,logLFull,RejS,SDSS,RASdeg,DESdeg,RelS,rS,CoaddS,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,SpecID,Class,zsp,r_zsp,WISE,RAWdeg,DEWdeg,e_RAWdeg,e_DEWdeg,RelW,rW,W1mag,e_W1mag,W1SNR,W2mag,e_W2mag,W2SNR,W3mag,e_W3mag,W3SNR,W4mag,e_W4mag,W4SNR,ExtW,RejW,UKIDSS,RAUdeg,DEUdeg,RelU,rU,Ymag,e_Ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,RejU,VHS,RAVdeg,DEVdeg,RelV,rV,JVmag,e_JVmag,HVmag,e_HVmag,KVmag,e_KVmag,RejV,GALEX,RAGdeg,DEGdeg,e_NUVPos,e_FUVPos,RelG,rG,NUV,e_NUV,FUV,e_FUV,FIRST,RAFdeg,DEFdeg,rF,F1.4GHz,e_F1.4GHz,RAHdeg,DEHdeg,rH,F250,e_F250,F350,e_F350,F500,e_F500,XMMAO10CP,ChCP,CPCoord,RA,DEC,SIGRA,SIGDEC,EPOCH,EBV,AY,AJ,AH,AK,MERGEDCLASS,MERGEDCLASSSTAT,YHALLMAG,YHALLMAGERR,YPETROMAG,YPETROMAGERR,YPSFMAG,YPSFMAGERR,YAPERMAG3,YAPERMAG3ERR,J_1HALLMAG,J_1HALLMAGERR,J_1PETROMAG,J_1PETROMAGERR,J_1PSFMAG,J_1PSFMAGERR,J_1APERMAG3,J_1APERMAG3ERR,HHALLMAG,HHALLMAGERR,HPETROMAG,HPETROMAGERR,HPSFMAG,HPSFMAGERR,HAPERMAG3,HAPERMAG3ERR,KHALLMAG,KHALLMAGERR,KPETROMAG,KPETROMAGERR,KPSFMAG,KPSFMAGERR,KAPERMAG3,KAPERMAG3ERR
2360,433834423123,742830101.0,14.115,-0.353,3.5,171.7,0.0,no,no,1.68,0.38,30.6,33.04,0.0,0.0,0.0,0.0,6.39,1.26,51.67,33.41,-999.0,-999.0,-999.0,no,1237663783666712774,14.115,-0.352,0.98,3.42,no,21.87,0.24,20.39,0.03,18.93,0.02,18.33,0.01,17.9,0.03,,,-999.0,,J005627.57-002108.1,14.11,-0.35,0.08,0.08,0.9857,3.66,14.82,0.04,31.3,,,,,,,,,,no,no,433834423123,14.115,-0.352,0.936,3.51,17.92,0.02,17.25,0.02,16.42,0.03,15.64,0.02,no,472469436506,14.115,-0.352,0.964,3.39,17.2,0.02,16.41,0.02,15.6,0.02,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.114892903726133,-0.3522974781988694,,,2006.8908668856948,0.024133779108524323,0.02922600507736206,0.021454930305480957,0.013949324376881123,0.00868816114962101,1,23.975677490234375,17.424121856689453,0.0335942767560482,17.339570999145508,0.047153323888778687,,,17.924705505371094,0.02394203469157219,16.763830184936523,0.03192730247974396,16.721525192260742,0.04941645637154579,,,17.245426177978516,0.019872484728693962,16.026018142700195,0.04498716816306114,16.03306007385254,0.07107860594987869,,,16.420604705810547,0.02733743004500866,15.266109466552734,0.031406182795763016,15.165094375610352,0.047092895954847336,,,15.644725799560547,0.019928639754652977
2361,433834423565,742830101.0,14.115,-0.16,5.8,291.7,0.0,no,no,2.02,0.5,26.23,26.34,7.29,2.78,15.92,7.4,8.61,1.74,49.88,33.0,-999.0,-999.0,-999.0,no,1237666339187917237,14.115,-0.16,0.81,1.01,no,23.41,0.69,22.61,0.16,21.97,0.13,21.49,0.13,20.63,0.24,,,-999.0,,J005627.65-000937.0,14.12,-0.16,0.13,0.13,0.9522,1.27,15.68,0.05,22.7,,,,,,,,,,no,no,433834423565,14.115,-0.16,0.826,1.08,,,19.49,0.15,18.64,0.2,17.88,0.15,no,472469432977,14.115,-0.16,0.831,1.24,19.9,0.17,19.06,0.2,17.93,0.16,no,2915238670318438835,14.115,-0.16,1.31,,0.76,1.61,22.64,0.32,,,FIRST J005627.5-000936,14.115,-0.16,1.17,8.64,0.11,,,,,,,,,,,,0.0,14.114794826267627,-0.1600006056644469,,,2006.969971964408,0.021507712081074715,0.026045838370919228,0.0191203560680151,0.01243145763874054,0.007742776535451412,-1,0.627571165561676,,,,,,,,,19.949249267578125,0.1409907042980194,19.779146194458008,0.17188909649848938,,,19.491657257080078,0.1465643346309662,18.679832458496094,0.323506236076355,18.679832458496094,0.323506236076355,,,18.64469337463379,0.19895456731319427,17.770627975463867,0.23417997360229492,17.763853073120117,0.25860485434532166,,,17.884662628173828,0.14509330689907074
2362,433836362467,742830101.0,14.142,-0.442,3.4,49.1,0.0,no,no,0.95,0.26,22.03,20.45,0.0,0.0,0.0,0.0,3.48,0.83,36.45,20.87,-999.0,-999.0,-999.0,no,,,,,,no,,,,,,,,,,,,,-999.0,,,,,,,,,,,,,,,,,,,,,no,no,,,,,,,,,,,,,,no,,,,,,,,,,,,no,2918862660643598899,14.141,-0.441,0.95,,0.79,6.21,22.09,0.17,,,,,,,,,,,,,,,,,,,,0.0,14.141094055457222,-0.4403432573413017,,,2006.8822465982205,0.024105576798319817,0.02919185347855091,0.02142985723912716,0.013933023437857628,0.008678007870912552,-1,1.0981407165527344,18.844223022460938,0.1325390338897705,18.781024932861328,0.1716071367263794,,,18.888761520385742,0.07006842643022537,18.623342514038086,0.12960751354694366,18.57744598388672,0.1589420735836029,,,18.414363861083984,0.06732986122369766,17.854604721069336,0.14529618620872498,17.783523559570312,0.16616475582122803,,,17.76091194152832,0.08379296958446503,16.9685001373291,0.11274012923240662,16.943735122680664,0.1776159554719925,,,17.142780303955078,0.07827217876911163
2363,433836362494,742830101.0,14.154,-0.448,2.1,49.1,0.0,no,no,7.25,0.63,177.33,389.08,17.33,2.73,73.38,62.06,24.68,1.83,273.08,402.95,43.8,44.17,44.33,no,1237666338651046108,14.155,-0.447,1.0,1.79,no,20.39,0.05,19.99,0.02,19.91,0.02,19.41,0.02,19.11,0.04,779144212938516480,QSO,0.474,11.0,J005637.10-002649.8,14.15,-0.45,0.07,0.07,0.9952,1.87,14.69,0.03,33.0,,,,,,,,,,no,no,433836362494,14.155,-0.447,0.977,1.81,18.22,0.04,17.87,0.04,17.17,0.05,16.25,0.03,no,472469438358,14.155,-0.447,0.987,1.84,17.81,0.03,16.96,0.03,16.06,0.03,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.154556219618115,-0.447173910514408,,,2006.8822465982205,0.024282565340399742,0.029406186193227768,0.021587200462818146,0.014035322703421116,0.00874172430485487,1,5.088907241821289,18.274192810058594,0.07264833897352219,18.210474014282227,0.0955406203866005,,,18.222660064697266,0.039502643048763275,17.828168869018555,0.060040879994630814,17.7479190826416,0.0874360129237175,,,17.871763229370117,0.04137786105275154,17.06778335571289,0.08031658828258514,17.054729461669922,0.1171090230345726,,,17.17346954345703,0.049189452081918716,16.122657775878906,0.04931306093931198,15.984793663024902,0.06612049043178558,,,16.248376846313477,0.03498082235455513
2365,433832563084,742830101.0,14.162,0.038,4.0,224.1,0.0,no,no,1.64,0.44,22.75,21.26,0.0,0.0,0.0,0.0,3.95,1.15,25.07,12.93,44.44,0.0,0.0,no,1237663784203583728,14.162,0.039,0.97,6.14,no,19.76,0.03,19.45,0.01,19.41,0.01,19.19,0.01,19.19,0.05,780344880525240320,QSO,1.577,11.0,J005638.88+000222.2,14.16,0.04,0.17,0.18,0.934,6.24,16.2,0.07,15.7,,,,,,,,,,no,no,433832563084,14.162,0.04,0.843,6.21,18.88,0.05,18.5,0.06,17.78,0.1,17.45,0.1,no,472447126149,14.162,0.04,0.907,6.28,18.28,0.05,17.6,0.05,17.44,0.11,no,6476213785057036472,14.162,0.04,0.64,,0.92,6.44,21.25,0.08,,,,,,,,,,,,,,,,,,,,0.0,14.16200684378133,0.03950803386767616,,,2006.890863244353,0.025553015992045403,0.03094470128417015,0.02271663025021553,0.014769643545150757,0.00919908657670021,-1,-2.778076648712158,18.94862174987793,0.09116023033857346,18.862258911132812,0.12149203568696976,,,18.878496170043945,0.05376458913087845,18.76093101501465,0.14323663711547852,18.66783332824707,0.1497664451599121,,,18.501506805419922,0.06220787763595581,17.52989959716797,0.1335313767194748,17.353742599487305,0.13232052326202393,,,17.77724266052246,0.09660115838050842,17.553613662719727,0.16976280510425568,17.49488639831543,0.18583162128925323,,,17.446340560913086,0.1033405140042305
2366,433836363120,742830101.0,14.163,-0.4,3.8,29.8,0.0,no,no,1.24,0.38,17.36,17.26,0.0,0.0,0.0,0.0,2.96,0.98,20.61,9.98,-999.0,-999.0,-999.0,no,,,,,,no,,,,,,,,,,,,,-999.0,,,,,,,,,,,,,,,,,,,,,no,no,433836363120,14.164,-0.399,0.877,2.61,,,,,,,18.11,0.19,no,472469437466,14.164,-0.399,0.888,2.46,20.4,0.27,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.16403814604177,-0.39939293618981186,,,2005.7302971389458,0.025680091232061386,0.031098589301109314,0.022829601541161537,0.014843093231320381,0.009244833141565323,1,1.8251911401748657,,,,,,,,,,,,,,,,,,,,,,,,,17.838138580322266,0.3174365162849426,17.724998474121094,0.3034454584121704,,,18.112112045288086,0.1894463151693344
2368,433836362527,742830101.0,14.172,-0.4,4.3,29.8,0.0,no,no,0.51,0.18,15.14,10.28,7.69,1.6,39.62,31.56,4.15,0.75,55.37,41.29,0.0,44.28,44.01,no,1237663783666712930,14.172,-0.398,0.92,5.79,no,22.06,0.14,21.43,0.04,20.76,0.03,20.77,0.04,19.14,0.04,4755832084785459200,QSO,0.732,11.0,J005641.20-002353.6,14.17,-0.4,0.07,0.07,0.9693,5.91,14.97,0.04,30.5,,,,,,,,,,no,no,433836362527,14.172,-0.398,0.764,6.36,20.28,0.24,19.44,0.17,18.43,0.15,17.25,0.09,no,472469437442,14.172,-0.398,0.894,5.99,19.08,0.08,18.26,0.1,17.13,0.08,no,,,,,,,,,,,,FIRST J005641.2-002353,14.172,-0.398,5.57,0.63,0.06,,,,,,,,,,,,0.0,14.171665392277863,-0.3981141634324034,,,2006.8822465982205,0.025902818888425827,0.03136831149458885,0.023027606308460236,0.014971829950809479,0.009325015358626842,-3,1.3176014423370361,20.19048500061035,0.32869425415992737,20.190479278564453,0.328939825296402,,,20.279314041137695,0.24145236611366272,19.341053009033203,0.16741889715194702,19.258535385131836,0.17004075646400452,,,19.43501853942871,0.16951461136341095,18.45541000366211,0.40202367305755615,18.648517608642578,0.4380749762058258,,,18.432409286499023,0.15337279438972473,17.352651596069336,0.13755017518997192,17.437911987304688,0.21910928189754486,,,17.24889373779297,0.0863543376326561
2369,433836363145,742830101.0,14.186,-0.389,4.4,62.9,0.0,no,no,0.0,0.0,0.0,0.0,2.99,0.95,17.3,11.32,1.95,0.52,28.71,15.58,-999.0,-999.0,-999.0,no,,,,,,no,,,,,,,,,,,,,-999.0,,J005644.54-002320.5,14.19,-0.39,0.3,0.31,0.9425,1.38,16.87,0.11,9.9,,,,,,,,,,no,no,433836363145,14.185,-0.389,0.894,1.49,,,,,,,18.37,0.24,no,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.185371940383071,-0.38914945065176954,,,2005.7302971389458,0.025941861793398857,0.03141559287905693,0.023062314838171005,0.014994395896792412,0.00933907087892294,1,3.1208081245422363,,,,,,,,,,,,,,,,,,,,,,,,,17.910995483398438,0.29917678236961365,17.910995483398438,0.29917678236961365,,,18.370744705200195,0.24083758890628815
2370,433834437127,742830101.0,14.196,-0.166,3.6,226.1,0.0,no,no,0.59,0.2,13.89,12.41,0.0,0.0,0.0,0.0,2.26,0.59,24.09,17.7,-999.0,-999.0,-999.0,no,1237666339187917186,14.196,-0.165,0.9,5.25,no,22.0,0.16,21.72,0.05,21.32,0.05,21.28,0.07,20.94,0.21,,,-999.0,,J005646.95-000952.0,14.2,-0.16,0.24,0.24,0.9089,6.9,16.43,0.08,14.2,,,,,,,,,,no,no,433834437127,14.196,-0.165,0.818,5.34,20.14,0.16,,,,,18.32,0.23,no,472469433078,14.196,-0.165,0.887,5.45,19.93,0.18,18.84,0.17,18.02,0.17,no,2915238670318438799,14.196,-0.165,0.72,,0.92,4.98,21.82,0.19,,,,,,,,,,,,,,,,,,,,0.0,14.195810161426103,-0.16487549196840567,,,2006.8908600410678,0.022570176050066948,0.027332482859492302,0.020064886659383774,0.013045561499893665,0.008125263266265392,-1,-0.5316601395606995,20.370105743408203,0.41375279426574707,20.370105743408203,0.41375279426574707,,,20.14126968383789,0.15939335525035858,,,,,,,,,,,,,,,,,18.955881118774414,0.7641277313232422,18.77704429626465,0.6102486252784729,,,18.31806755065918,0.22554771602153778
2371,433836363155,742830101.0,14.197,-0.577,3.4,328.9,0.0,no,no,1.67,0.43,22.7,25.09,0.0,0.0,0.0,0.0,6.83,1.56,40.67,23.63,44.24,0.0,44.85,no,1237666338651046287,14.196,-0.577,0.99,3.22,no,20.95,0.08,21.14,0.04,20.86,0.04,20.86,0.05,20.64,0.15,,QSO,1.296,1.0,J005647.09-003436.1,14.2,-0.58,0.31,0.32,0.9532,3.82,16.96,0.12,8.9,,,,,,,,,,no,no,433836363155,14.196,-0.577,0.91,3.31,,,,,,,17.67,0.13,no,472469440854,14.196,-0.577,0.936,3.37,19.82,0.16,19.11,0.21,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.196392281537232,-0.5767596644795605,,,2005.7302971389458,0.024784095585346222,0.030013538897037506,0.02203306183218956,0.014325207099318504,0.0089222751557827,1,3.4759926795959473,,,,,,,,,,,,,,,,,,,,,,,,,17.41402816772461,0.20172064006328583,17.780397415161133,0.3963480293750763,,,17.672788619995117,0.12691451609134674
